Species,SpiculeTypes
Tethytimea tylota,2
Rhabdastrella distincta,1
Amphimedon anastomosa,1
Asbestopluma hypogea,4
Ascandra spalatensis,4
Clathrina primordialis,1
Borojevia croatica,4
Farrea bowerbanki,3
Tretodictyum reiswigi,4
Haljalaspongia inaudita,5
Leucandra falakra,6
Hymedesmia anatoliensis,3
Neofibularia chinensis,2
Amphimedon chloros,3
Niphates rowi,1
Petrosia spheroida,1
Clathria collosclera,4
Pheronema amphorae,14
Tretodictyum tubulosum,4
Hexactinella carolinensis,3
Pheronemoides crustiformis,7
Semperella jiaolongae,8
Saccocalyx microhexactin,3
Platylistrum subviridum,3
Poliopogon canaliculatus,5
Conorete pourtalesi,5
Verrucocoeloidea liberatorii,5
Dictyoplax lecus,4
Poliopogon amadou,7
Bolosoma perezi,4
Chonelasma choanoides,6
Holascus pseudostellatus,5
Bathydorus poculum,6
Nubes poculiformis,7
Scyphidium australiense,8
Eurete atlantica,3
Periphragella antarctica,4
Corticium vaceleti,1
Plakortis ruetzleri,2
Plakinastrella nicoleae,3
Plakinastrella pseudolopha,4
Plakinastrella osculifera,6
Plakina finispinata,10
Plectroninia celtica,4
Achramorpha nivalis,5
Megapogon raripilus,6
Sarsinella karasikensis,9
Arthuria tenuipilosa,3
Ernstia indonesiae,5
Burtonulla sibogae,4
Leucaltis nodusgordii,6
Ascaltis angusta,4
Leucascus flavus,2
Ascoleucetta sagittata,4
Leucetta chagosensis,4
Pericharax orientalis,4
Lelapiella sphaerulifera,5
Anamixilla torresi,4
Uteopsis argentea,7
Grantessa borojevici,5
Heteropia minor,6
Vosmaeropsis grisea,7
Amphoriscus semoni,3
Leucilla australiensis,6
Halichondria longioxea,1
Axociella ongulensis,2
Cymbastela cantharella,1
Reniochalina condylia,2
Axinella carteri,2
Phakellia pulcherrima,2
Stylissa flabelliformis,2
Myrmekioderma granulata,2
Higginsia anfractuosa,2
Cliona californiana,2
Cliona lobata,1
Pione gibraltarensis,2
Polymastia kurilensis,3
Polymastia pachymastia,4
Radiella endeavourensis,3
Sphaerotylus raphidophora,5
Tentorium semisuberites,2
Weberella perlucida,2
Aaptos simplex,2
Homaxinella amphispicula,2
Prosuberites saanichensis,1
Suberites concinnus,1
Suberites latus,3
Tethya californiana,3
Darwinella muelleri,1
Crumillospongia frondosa,1
Ptilispongia maotianshanensis,2
Ischnspongia dendritica,2
Hamptonia chengjiangensis,2
Cystospongia globosa,2
Valospongia gigantis,3
Conciliospongia anjiensis,3
Stereodictyum orthoplectum,2
Hintzespongia bilamina,3
Brachiospongia digitata,3
Stioderma coscinum,5
Stromatidium typicale,1
Becksia soekelandi,2
Plectroninia halli,3
Bactronella australis,1
Tretocalia pezica,3
Monoplectroninia malonei,1
Stauractinella eocenica,3
Hormathospongia dictyota,2
Sanshadictya microreticulata,3
Hyalosinica archaica,4
Choia utahensis,2
Diagoniella cyathiformis,2
Protospongia gracilis,2
Triticispongia diagonata,3
Lantianospongia palifera,4
Pirania auraeum,3
Microhemidiscia greinerti,7
Heliospongia excavata,1
Asturiaspongia aqualiforma,2
Estrellaspongia irregulara,3
Hadrophragmos soleniscus,3
Iberospongia globulara,3
Stioderma perforata,2
Xylochos palindromica,3
Pirania llanfawrensis,2
Heminectere minima,3
Asthenospongia cambria,5
Acutipuerilis spinosus,5
Granulispongia obscura,7
Murania reitneri,1
Plectroninia pertusa,1
Bactronella womblei,6
Bactronella incrustans,5
Stelletta (Stolleya) silvigera,4
Geodia harmatuki,5
Sheldonia trabecula,2
Hazelina bisbifurcata,1
Claytonia rayi,2
Haplistion lobatum,2
Twenhofelella bulbulus,3
Monaxoradiata lamina,1
Chiastocolumnia cylindrica,4
Dactylites obconica,1
Defordia digitata,5
Jereina robusta,2
Astylospongia tarda,2
Hexactinoderma trammeri,3
Silesiaspongia rimosa,4
Tremadictyon radicatum,2
Paracinachyrella fossilis,3
Virgaspongiella ramosa,4
Incrustatospongia superficiala,3
Porosphaera globularis,1
Endostoma mexicana,3
Mammillopora encrusta,2
Sontheimia parasitica,3
Jereica tuberculosa,2
Soleneiscus hamatus,4
Petrobiona massiliana,3
Sycon ciliatum,4
Paraleucilla magna,5
Aphrocallistes beatrix,2
Euplectella gibbsa,2
Lophocalyx reiswigi,4
Sympagella cooki,4
Nodastrella nodastrella,7
Neopetrosia proxima,2
Callyspongia armigera,1
Haliclona cinerea,1
Scopalina nausicae,1
Galaxia gaviotensis,4
Quasillina brevis,2
Spinularia spinularia,3
Ciocalypta penicillus,2
Hymeniacidon perlevis,1
Amorphinopsis fenestrata,2
Leuclathrina translucida,2
Grantia compressa,6
Sycettusa hirsutissima,7
Ute insulagemmae,6
Kebira tetractinifera,5
Aspidoscopulia australia,6
Euryplegma auriculare,3
Rossella antarctica,4
Chalinula zeae,1
Lissodendoryx flabellata,2
Kirkpatrickia coulmani,2
Phorbas glaberrimus,2
Janulum spinispiculum,1
Svenzea zeai,2
Plenaster craigi,1
Heteroxya beauforti,3
Dragmacidon australe,2
Didiscus oxeatus,3
Sigmaxinella hipposiderus,1
Aciculites orientalis,3
Scleritoderma flabelliforme,1
Herengeria auriculata,3
Neoschrammeniella norfolkii,2
Anaderma rancureli,4
Reidispongia coerulea,3
Acanthotetilla celebensis,5
Stelletta tuberosa,3
Poecillastra compressa,3
Thenea levis,3
Stylocordyla borealis,2
Isodictya filiformis,1
Cyclacanthia bellae,1
Tsitsikamma favus,3
Iophon koltuni,2
Cinachyra barbata,4
Iotrochota birotulata,4
Protosuberites mereui,5
